Current (uA),Potential (V)
110,-0.342
92.5,-0.341
76.666664,-0.34
65.833336,-0.339
59.166668,-0.338
55,-0.337
50.833332,-0.336
47.5,-0.335
45,-0.334
42.5,-0.333
40,-0.332
37.5,-0.331
35,-0.33
33.333332,-0.329
31.666666,-0.328
30,-0.327
28.333334,-0.326
26.666666,-0.325
25.833334,-0.324
23.333334,-0.323
21.666666,-0.322
20,-0.321
20.833334,-0.32
20.833334,-0.319
20,-0.318
17.5,-0.317
15.833333,-0.316
14.166667,-0.315
13.333333,-0.314
12.5,-0.313
12.5,-0.312
12.5,-0.311
11.666667,-0.31
11.666667,-0.309
10,-0.308
9.166667,-0.307
7.5,-0.306
7.5,-0.305
7.5,-0.304
8.333333,-0.303
7.5,-0.302
7.5,-0.301
6.666667,-0.3
7.5,-0.299
6.666667,-0.298
5.833333,-0.297
5,-0.296
5,-0.295
4.166667,-0.294
5,-0.293
5,-0.292
5.833333,-0.291
5,-0.29
5,-0.289
5,-0.288
5,-0.287
5,-0.286
5,-0.285
5.833333,-0.284
5.833333,-0.283
5,-0.282
4.166667,-0.281
4.166667,-0.28
4.166667,-0.279
4.166667,-0.278
4.166667,-0.277
5,-0.276
4.166667,-0.275
3.333333,-0.274
2.5,-0.273
2.5,-0.272
3.333333,-0.271
4.166667,-0.27
4.166667,-0.269
3.333333,-0.268
3.333333,-0.267
4.166667,-0.266
4.166667,-0.265
3.333333,-0.264
2.5,-0.263
2.5,-0.262
3.333333,-0.261
2.5,-0.26
1.666667,-0.259
0.833333,-0.258
0.833333,-0.257
0.833333,-0.256
0.833333,-0.255
1.666667,-0.254
2.5,-0.253
1.666667,-0.252
0.833333,-0.251
0,-0.25
0,-0.249
0,-0.248
0,-0.247
0,-0.246
0,-0.245
0,-0.244
0,-0.243
0.833333,-0.242
1.666667,-0.241
1.666667,-0.24
1.666667,-0.239
0.833333,-0.238
1.666667,-0.237
0.833333,-0.236
1.666667,-0.235
1.666667,-0.234
2.5,-0.233
2.5,-0.232
2.5,-0.231
2.5,-0.23
2.5,-0.229
2.5,-0.228
2.5,-0.227
2.5,-0.226
2.5,-0.225
2.5,-0.224
2.5,-0.223
2.5,-0.222
3.333333,-0.221
3.333333,-0.22
3.333333,-0.219
2.5,-0.218
3.333333,-0.217
4.166667,-0.216
5,-0.215
5,-0.214
4.166667,-0.213
4.166667,-0.212
4.166667,-0.211
5,-0.21
5,-0.209
5,-0.208
5,-0.207
5,-0.206
5,-0.205
5.833333,-0.204
6.666667,-0.203
6.666667,-0.202
5.833333,-0.201
5,-0.2
5.833333,-0.199
6.666667,-0.198
7.5,-0.197
8.333333,-0.196
8.333333,-0.195
7.5,-0.194
5.833333,-0.193
5.833333,-0.192
6.666667,-0.191
8.333333,-0.19
8.333333,-0.189
10,-0.188
10,-0.187
11.666667,-0.186
10.833333,-0.185
10.833333,-0.184
10,-0.183
10.833333,-0.182
12.5,-0.181
13.333333,-0.18
13.333333,-0.179
12.5,-0.178
12.5,-0.177
13.333333,-0.176
13.333333,-0.175
13.333333,-0.174
13.333333,-0.173
14.166667,-0.172
15,-0.171
15,-0.17
16.666666,-0.169
18.333334,-0.168
19.166666,-0.167
19.166666,-0.166
19.166666,-0.165
19.166666,-0.164
19.166666,-0.163
20,-0.162
20.833334,-0.161
21.666666,-0.16
22.5,-0.159
24.166666,-0.158
25.833334,-0.157
26.666666,-0.156
27.5,-0.155
28.333334,-0.154
29.166666,-0.153
30.833334,-0.152
31.666666,-0.151
32.5,-0.15
34.166668,-0.149
35.833332,-0.148
39.166668,-0.147
40.833332,-0.146
43.333332,-0.145
45,-0.144
46.666668,-0.143
48.333332,-0.142
50,-0.141
52.5,-0.14
56.666668,-0.139
59.166668,-0.138
61.666668,-0.137
62.5,-0.136
65,-0.135
68.333336,-0.134
70.833336,-0.133
74.166664,-0.132
75.833336,-0.131
77.5,-0.13
79.166664,-0.129
80,-0.128
82.5,-0.127
85,-0.126
89.166664,-0.125
94.166664,-0.124
98.333336,-0.123
104.166664,-0.122
107.5,-0.121
112.5,-0.12
117.5,-0.119
123.333336,-0.118
128.333328,-0.117
133.333328,-0.116
139.166672,-0.115
144.166672,-0.114
148.333328,-0.113
153.333328,-0.112
160.833328,-0.111
169.166672,-0.11
177.5,-0.109
185,-0.108
192.5,-0.107
199.166672,-0.106
206.666672,-0.105
214.166672,-0.104
223.333328,-0.103
233.333328,-0.102
243.333328,-0.101
252.5,-0.1
261.666656,-0.099
272.5,-0.098
284.166656,-0.097
295.833344,-0.096
308.333344,-0.095
320.833344,-0.094
332.5,-0.093
345,-0.092
358.333344,-0.091
372.5,-0.09
385.833344,-0.089
400.833344,-0.088
416.666656,-0.087
431.666656,-0.086
446.666656,-0.085
463.333344,-0.084
482.5,-0.083
502.5,-0.082
521.666687,-0.081
540.833313,-0.08
560,-0.079
580,-0.078
600,-0.077
621.666687,-0.076
644.166687,-0.075
669.166687,-0.074
694.166687,-0.073
717.5,-0.072
741.666687,-0.071
766.666687,-0.07
795,-0.069
823.333313,-0.068
852.5,-0.067
882.5,-0.066
911.666687,-0.065
939.166687,-0.064
969.166687,-0.063
1001.666687,-0.062
1038.333374,-0.061
1073.333374,-0.06
1109.166626,-0.059
1145.833374,-0.058
1181.666626,-0.057
1219.166626,-0.056
1256.666626,-0.055
1299.166626,-0.054
1340.833374,-0.053
1382.5,-0.052
1423.333374,-0.051
1461.666626,-0.05
1503.333374,-0.049
1545.833374,-0.048
1593.333374,-0.047
1639.166626,-0.046
1687.5,-0.045
1737.5,-0.044
1785,-0.043
1835,-0.042
1886.666626,-0.041
1945.833374,-0.04
2005,-0.039
2068.333252,-0.038
2135.833252,-0.037
2206.666748,-0.036
2281.666748,-0.035
2362.5,-0.034
2454.166748,-0.033
2552.5,-0.032
2660,-0.031
2776.666748,-0.03
2901.666748,-0.029
2994.166748,-0.028
3043.333252,-0.027
3050,-0.026
3050,-0.025
3050,-0.024
3050,-0.023
3050,-0.022
3050,-0.021
3050,-0.02
3050,-0.019
3050,-0.018
3050,-0.017
3050,-0.016
3050,-0.015
3050,-0.014
3050,-0.013
3050,-0.012
3050,-0.011
3050,-0.01
3050,-0.009
3050,-0.008
3050,-0.007
3050,-0.006
3050,-0.005
3050,-0.004
3050,-0.003
3050,-0.002
3050,-0.001
3050,0
3050,0.001
3050,0.002
3050,0.003
3050,0.004
3050,0.005
3050,0.006
3050,0.007
3050,0.008
