Current (uA),Potential (V)
967.5,-0.641
924.166687,-0.64
905.833313,-0.639
892.5,-0.638
830,-0.637
740,-0.636
675.833313,-0.635
654.166687,-0.634
647.5,-0.633
617.5,-0.632
551.666687,-0.631
499.166656,-0.63
378.333344,-0.629
379.166656,-0.628
348.333344,-0.627
427.5,-0.626
442.5,-0.625
480,-0.624
489.166656,-0.623
503.333344,-0.622
506.666656,-0.621
499.166656,-0.62
480.833344,-0.619
462.5,-0.618
435,-0.617
405,-0.616
375.833344,-0.615
375,-0.614
383.333344,-0.613
410.833344,-0.612
432.5,-0.611
446.666656,-0.61
455,-0.609
457.5,-0.608
453.333344,-0.607
432.5,-0.606
401.666656,-0.605
377.5,-0.604
367.5,-0.603
359.166656,-0.602
358.333344,-0.601
352.5,-0.6
358.333344,-0.599
363.333344,-0.598
369.166656,-0.597
370.833344,-0.596
361.666656,-0.595
355.833344,-0.594
350.833344,-0.593
351.666656,-0.592
352.5,-0.591
350,-0.59
342.5,-0.589
337.5,-0.588
333.333344,-0.587
328.333344,-0.586
315.833344,-0.585
305,-0.584
299.166656,-0.583
295.833344,-0.582
288.333344,-0.581
281.666656,-0.58
274.166656,-0.579
274.166656,-0.578
272.5,-0.577
271.666656,-0.576
265,-0.575
266.666656,-0.574
272.5,-0.573
281.666656,-0.572
283.333344,-0.571
285,-0.57
284.166656,-0.569
276.666656,-0.568
264.166656,-0.567
252.5,-0.566
245,-0.565
238.333328,-0.564
235,-0.563
231.666672,-0.562
229.166672,-0.561
223.333328,-0.56
217.5,-0.559
207.5,-0.558
197.5,-0.557
191.666672,-0.556
192.5,-0.555
196.666672,-0.554
198.333328,-0.553
200.833328,-0.552
200.833328,-0.551
200,-0.55
198.333328,-0.549
196.666672,-0.548
195,-0.547
191.666672,-0.546
187.5,-0.545
182.5,-0.544
177.5,-0.543
172.5,-0.542
169.166672,-0.541
166.666672,-0.54
165,-0.539
161.666672,-0.538
158.333328,-0.537
155,-0.536
153.333328,-0.535
148.333328,-0.534
144.166672,-0.533
141.666672,-0.532
143.333328,-0.531
145.833328,-0.53
145.833328,-0.529
145.833328,-0.528
144.166672,-0.527
143.333328,-0.526
141.666672,-0.525
140.833328,-0.524
138.333328,-0.523
137.5,-0.522
135.833328,-0.521
135,-0.52
132.5,-0.519
130,-0.518
128.333328,-0.517
126.666664,-0.516
126.666664,-0.515
126.666664,-0.514
126.666664,-0.513
125,-0.512
123.333336,-0.511
121.666664,-0.51
120,-0.509
118.333336,-0.508
115.833336,-0.507
115,-0.506
114.166664,-0.505
114.166664,-0.504
111.666664,-0.503
107.5,-0.502
103.333336,-0.501
100,-0.5
98.333336,-0.499
97.5,-0.498
97.5,-0.497
96.666664,-0.496
95.833336,-0.495
94.166664,-0.494
93.333336,-0.493
92.5,-0.492
92.5,-0.491
91.666664,-0.49
90.833336,-0.489
89.999992,-0.488
88.333336,-0.487
87.5,-0.486
85.833336,-0.485
84.166664,-0.484
81.666664,-0.483
78.333336,-0.482
78.333336,-0.481
77.5,-0.48
78.333336,-0.479
75.833336,-0.478
75,-0.477
74.166664,-0.476
74.166664,-0.475
73.333336,-0.474
72.5,-0.473
72.5,-0.472
72.5,-0.471
71.666664,-0.47
69.166664,-0.469
67.5,-0.468
65.833336,-0.467
65.833336,-0.466
65,-0.465
65,-0.464
64.166664,-0.463
63.333332,-0.462
62.5,-0.461
62.5,-0.46
61.666668,-0.459
60.833332,-0.458
59.166668,-0.457
57.5,-0.456
55.833332,-0.455
55,-0.454
55,-0.453
55,-0.452
54.166668,-0.451
53.333332,-0.45
52.5,-0.449
51.666668,-0.448
50.833332,-0.447
49.166668,-0.446
48.333332,-0.445
46.666668,-0.444
45.833332,-0.443
44.999996,-0.442
44.166668,-0.441
42.5,-0.44
40.833332,-0.439
40,-0.438
39.166668,-0.437
37.5,-0.436
35.833332,-0.435
34.166668,-0.434
33.333332,-0.433
31.666666,-0.432
30,-0.431
27.5,-0.43
25.833334,-0.429
25,-0.428
25,-0.427
24.166666,-0.426
23.333334,-0.425
21.666666,-0.424
20.833334,-0.423
20,-0.422
19.166666,-0.421
19.166666,-0.42
18.333334,-0.419
18.333334,-0.418
16.666666,-0.417
14.166667,-0.416
12.5,-0.415
10,-0.414
10,-0.413
8.333333,-0.412
7.5,-0.411
5,-0.41
2.5,-0.409
0.833333,-0.408
0,-0.407
0.833333,-0.406
0.833333,-0.405
0.833333,-0.404
0.833333,-0.403
2.5,-0.402
4.166667,-0.401
5.833333,-0.4
7.5,-0.399
9.166667,-0.398
11.666667,-0.397
14.166667,-0.396
15.833333,-0.395
16.666666,-0.394
17.5,-0.393
19.166666,-0.392
20,-0.391
20.833334,-0.39
22.5,-0.389
25,-0.388
28.333334,-0.387
30.833334,-0.386
31.666666,-0.385
31.666666,-0.384
30.833334,-0.383
30,-0.382
30,-0.381
31.666666,-0.38
35,-0.379
38.333332,-0.378
41.666668,-0.377
43.333332,-0.376
44.166668,-0.375
46.666668,-0.374
52.5,-0.373
57.5,-0.372
58.333332,-0.371
59.166668,-0.37
60,-0.369
64.166664,-0.368
65.833336,-0.367
67.5,-0.366
67.5,-0.365
68.333336,-0.364
70,-0.363
71.666664,-0.362
73.333336,-0.361
75.833336,-0.36
74.166664,-0.359
75.833336,-0.358
78.333336,-0.357
85,-0.356
